Продукт,Калорийность,Белки,Жиры,Углеводы
"Баранина, спинная часть",254 кКал,"16,5 г","20,9 г",0 г
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками",134 кКал,"20,21 г","5,28 г",0 г
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками, жаренная на открытом огне",186 кКал,"28,08 г","7,33 г",0 г
"Баранина, тазобедренная и лопаточная части, только мясо, нарезанное кубиками, тушеная",223 кКал,"33,69 г","8,8 г",0 г
"Баранина, тазобедренная часть",198 кКал,17 г,"14,4 г",0 г
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, жаренная на открытом огне",315 кКал,"23,43 г","23,88 г",0 г
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",296 кКал,"24,41 г","21,28 г",0 г
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая",273 кКал,"17,18 г","22,1 г",0 г
"Баранина, филейная часть, Новая зеландия, замороженная, мясо и жир, сырая",298 кКал,"15,4 г","26,19 г","0,22 г"
"Баранина, филейная часть, Новая зеландия, замороженная, только мясо, жаренная на открытом огне",199 кКал,"29,31 г","8,24 г",0 г
"Баранина, филейная часть, Новая зеландия, замороженная, только мясо, сырая",142 кКал,"19,98 г","6,88 г",0 г
"Баранина, шейная часть",208 кКал,"15,4 г","16,3 г",0 г
Белка,120 кКал,"21,23 г","3,21 г",0 г
"Белка, запеченная",173 кКал,"30,77 г","4,69 г",0 г
"Бизон, мякоть плечевой части, только мясо",119 кКал,"21,12 г","3,15 г",0 г
"Бизон, мякоть плечевой части, только мясо",109 кКал,"21,1 г","2,1 г",0 г
"Бизон, мякоть плечевой части, только мясо, тушеная",193 кКал,"33,78 г","5,43 г",0 г
"Бизон, стейк из верхней части бедра, только мясо",122 кКал,"23,32 г","2,43 г",0 г
"Бизон, стейк из верхней части бедра, только мясо, жаренный на открытом огне",174 кКал,"30,18 г","4,96 г",0 г
"Бизон, стейк из верхней части оковалка, только мясо, жаренный на открытом огне",171 кКал,"28,05 г","5,65 г",0 г
"Бизон, стейк из рибая (реберная сердцевина, глазок), только мясо",116 кКал,"22,1 г","2,4 г",0 г
"Бизон, стейк из рибая (реберная сердцевина, глазок), только мясо, жареный на открытом огне",177 кКал,"29,45 г","5,67 г",0 г
"Бизон, только мясо",109 кКал,"21,62 г","1,84 г",0 г
"Бизон, только мясо, запеченное",143 кКал,"28,44 г","2,42 г",0 г
Бобер,146 кКал,"24,05 г","4,8 г",0 г
"Бобер, запеченный",212 кКал,"34,85 г","6,96 г",0 г
"Буйвол, стейк из верхней части бедра (Шошони-Баннок)",97 кКал,"21,44 г","1,3 г",0 г
"Буйвол, стейк из верхней части бедра приготовленный (Шошони-Баннок)",146 кКал,"32,51 г","1,8 г",0 г
"Буйволятина, 1 категории",195 кКал,19 г,"13,2 г",0 г
"Буйволятина, 2 категории",135 кКал,"20,8 г","5,8 г",0 г
"Буффало, гибрид бизона и коровы, мясной набор",143 кКал,"23,3 г","4,8 г",0 г
"Буффало, гибрид бизона и коровы, мясной набор, запеченный",188 кКал,"30,66 г","6,32 г",0 г
Верблюжатина 1 категории,160 кКал,"18,9 г","9,4 г",0 г
Водяной буйвол,99 кКал,"20,39 г","1,37 г",0 г
"Водяной буйвол, запеченный",131 кКал,"26,83 г","1,8 г",0 г
Глаза оленя карибу (Аляска),326 кКал,"10,8 г","31,4 г",0 г
"Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная",217 кКал,"26,73 г","11,4 г",0 г
"Голяшка, баранина, мясо и жир, обрезь до 1/8'' жира, сырая",185 кКал,"18,99 г","11,5 г",0 г
"Гуляш бараний, консервы",213 кКал,"14,2 г","15,6 г","3,9 г"
"Енот, запеченный",255 кКал,"29,2 г","14,5 г",0 г
"Жир бараний приготовленный, Австралия",639 кКал,"9,42 г","66,4 г",0 г
"Жир бараний сырой, Австралия",648 кКал,"6,27 г","68,87 г",0 г
"Завтрак туриста (баранина), консервы",210 кКал,18 г,"15,2 г","0,2 г"
Кабан,122 кКал,"21,51 г","3,33 г",0 г
"Кабан, запеченный",160 кКал,"28,3 г","4,38 г",0 г
Карибу (канадский олень),127 кКал,"22,63 г","3,36 г",0 г
"Карибу (канадский олень), запеченный",167 кКал,"29,77 г","4,42 г",0 г
"Карибу, костный мозг (Аляска)",786 кКал,"6,7 г","84,4 г",0 г
"Карибу, мясо задней четвертины, приготовленное (Аляска)",159 кКал,"28,81 г","4,82 г",0 г
"Карибу, огузок (кострец), наполовину высушенный (Аляска)",255 кКал,"52,06 г","5,23 г",0 г
"Карибу, окорок (Аляска)",122 кКал,"22,63 г","3,37 г",0 г
Козлятина,109 кКал,"20,6 г","2,31 г",0 г
"Козлятина, запеченная",143 кКал,"27,1 г","3,03 г",0 г
Конина,133 кКал,"21,39 г","4,6 г",0 г
Конина 1 кат.,167 кКал,"19,5 г","9,9 г",0 г
Конина 2 кат.,121 кКал,"20,9 г","4,1 г",0 г
"Конина тушеная, консервы",150 кКал,"18,7 г","8,4 г",0 г
"Конина, запеченная",175 кКал,"28,14 г","6,05 г",0 г
"Котлеты отбивные из баранины, по 1-416",394 кКал,"20,6 г","30,6 г","9,1 г"
"Котлеты рубленые из баранины, по 1-442",240 кКал,"13,6 г","14,8 г","12,9 г"
"Кролик жареный, по 2-18",241 кКал,"31,5 г","12,7 г","0,1 г"
"Кролик отварной, по 2-6",194 кКал,"25,5 г","10,4 г",0 г
"Кролик, дикий",114 кКал,"21,79 г","2,32 г",0 г
"Кролик, дикий, тушеный",173 кКал,"33,02 г","3,51 г",0 г
Легкое баранье,83 кКал,"15,6 г","2,3 г",0 г
Легкое баранье,95 кКал,"16,7 г","2,6 г",0 г
"Легкое баранье, тушеное",113 кКал,"19,88 г","3,1 г",0 г
Лось,111 кКал,"22,95 г","1,45 г",0 г
"Лось, вырезка, только мясо, жаренный на открытом огне",162 кКал,"30,76 г","3,41 г",0 г
"Лось, запеченный",146 кКал,"30,19 г","1,9 г",0 г
"Лось, корейка, только мясо, жаренный на открытом огне",167 кКал,31 г,"3,84 г",0 г
"Лось, тазобедренный отруб, только мясо, жаренный на открытом огне",156 кКал,"30,94 г","2,64 г",0 г
Медведь,161 кКал,"20,1 г","8,3 г",0 г
Медведь полярный (белый) (Аляска),130 кКал,"25,6 г","3,1 г",0 г
"Медведь, приготовленный на медленном огне",259 кКал,"32,42 г","13,39 г",0 г
"Медведь, черный (Аляска)",155 кКал,"20,1 г","8,3 г",0 г
Мозги бараньи,123 кКал,"9,7 г","9,4 г",0 г
"Мозги бараньи, жаренные на сковороде",273 кКал,"16,97 г","22,19 г",0 г
"Мозги бараньи, тушеные",145 кКал,"12,55 г","10,17 г",0 г
"Мозги, бараньи",122 кКал,"10,4 г","8,58 г",0 г
"Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, вареная",294 кКал,"24,52 г","20,94 г",0 г
"Мясной набор, баранина, мясо и жир, обрезь до 1/4'' жира, отборная, сырая",267 кКал,"16,88 г","21,59 г",0 г
"Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, вареная",271 кКал,"25,51 г","18,01 г",0 г
"Мясной набор, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",243 кКал,"17,54 г","18,66 г",0 г
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, вареная",305 кКал,"24,42 г","22,26 г",0 г
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, вареная",270 кКал,"25,26 г","17,98 г",0 г
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",232 кКал,"17,95 г","17,2 г",0 г
"Мясной набор, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",277 кКал,"16,74 г","22,74 г",0 г
"Мясной набор, баранина, Новая Зеландия, замороженная, только жир, вареная",586 кКал,"9,72 г","60,39 г",0 г
"Мясной набор, баранина, Новая Зеландия, замороженная, только жир, сырая",640 кКал,"6,92 г","67,63 г",0 г
"Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, вареная",206 кКал,"29,59 г","8,86 г",0 г
"Мясной набор, баранина, Новая Зеландия, замороженная, только мясо, сырая",128 кКал,"20,75 г","4,41 г",0 г
"Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, вареная",586 кКал,"12,16 г","59,18 г",0 г
"Мясной набор, баранина, только жир, обрезь до 1/4'' жира, отборная, сырая",665 кКал,"6,65 г","70,61 г",0 г
"Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, вареная",206 кКал,"28,22 г","9,52 г",0 г
"Мясной набор, баранина, только мясо, обрезь до 1/4'' жира, отборная, сырая",134 кКал,"20,29 г","5,25 г",0 г
Мясо косули,138 кКал,"21,1 г",6 г,0 г
Мясо кролика,183 кКал,"21,2 г",11 г,0 г
Мясо лося,101 кКал,"21,4 г","1,7 г",0 г
Мясо сайгака,208 кКал,"21,2 г","13,7 г",0 г
Мясо яка,112 кКал,20 г,"3,5 г",0 г
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная",269 кКал,"22,7 г","19,08 г",0 г
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, жаренная на открытом огне",268 кКал,"23,84 г","18,39 г",0 г
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, сырая",244 кКал,"17,07 г","18,96 г",0 г
"Нога передняя, с лопаткой, баранина, мясо и жир, обрезь до 1/8'' жира, тушеная",338 кКал,"29,46 г","23,57 г",0 г
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, сырая",251 кКал,"17,19 г","19,74 г",0 г
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8'' жира, тушеная",342 кКал,"29,43 г","24,03 г",0 г
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",272 кКал,"16,16 г","22,89 г","0,24 г"
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная",357 кКал,"28,21 г","26,27 г",0 г
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, сырая",154 кКал,"19,72 г","8,3 г",0 г
"Нога, передняя, с лопаткой, баранина, Новая Зеландия, замороженная, только мясо, тушеная",285 кКал,"34,06 г","15,5 г",0 г
"Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная",242 кКал,"26,2 г","14,42 г",0 г
"Нога, целая, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",209 кКал,"18,47 г","14,42 г",0 г
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная",246 кКал,"24,81 г","15,56 г",0 г
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, жаренная",234 кКал,"25,34 г","13,95 г",0 г
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая",201 кКал,"18,76 г","13,37 г",0 г
"Нога, целая, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",206 кКал,"18,64 г","14,52 г","0,13 г"
"Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, жаренная",181 кКал,"27,68 г","7,01 г",0 г
"Нога, целая, баранина, Новая Зеландия, замороженная, только мясо, сырая",126 кКал,"21,1 г","4,64 г",0 г
Оленина 1 кат.,155 кКал,"19,5 г","8,5 г",0 г
"Оленина тушеная, консервы",171 кКал,"19,3 г","10,4 г",0 г
"Оленина, 2 категории",125 кКал,21 г,"4,5 г",0 г
"Олень, (лань)",120 кКал,"22,96 г","2,42 г",0 г
"Олень, (лань), запеченный",158 кКал,"30,21 г","3,19 г",0 г
"Олень, (лань), мякоть плечевой части, только мясо, тушеный",191 кКал,"36,28 г","3,95 г",0 г
"Олень, (лань), стейк из верхней части бедра, только мясо, жареный на открытом огне",152 кКал,"31,47 г","1,92 г",0 г
"Олень, (лань), стейк из филея, только мясо, жаренный на открытом огне",150 кКал,"30,2 г","2,38 г",0 г
"Олень, сырой, (Аляска, Ситка)",116 кКал,"21,5 г","2,66 г",0 г
Ондатра (выхухоль),162 кКал,"20,76 г","8,1 г",0 г
"Ондатра (выхухоль), запеченная",234 кКал,"30,09 г","11,74 г",0 г
"Опоссум, запеченный",221 кКал,"30,2 г","10,2 г",0 г
Печень баранья,101 кКал,"18,7 г","2,9 г",0 г
Печень баранья,139 кКал,"20,38 г","5,02 г","1,78 г"
"Печень баранья, жаренная  на сковороде",238 кКал,"25,53 г","12,65 г","3,78 г"
"Печень баранья, тушеная",220 кКал,"30,57 г","8,81 г","2,53 г"
"Печень северного оленя карибу, (Аляска)",122 кКал,15 г,"3,9 г","6,8 г"
"Поджарка из баранины, по 1-408",409 кКал,"19,5 г","35,1 г","3,9 г"
Поджелудочная железа баранья,152 кКал,"14,84 г","9,82 г",0 г
Поджелудочная железа баранья тушеная,234 кКал,"22,83 г","15,12 г",0 г
Почки бараньи,77 кКал,"13,6 г","2,5 г",0 г
Почки бараньи,97 кКал,"15,74 г","2,95 г","0,82 г"
"Почки бараньи, тушеные",137 кКал,"23,65 г","3,62 г","0,99 г"
"Рагу из баранины, по 1-430",152 кКал,"5,1 г","10,1 г","10,1 г"
"Рагу из кролика, по 2-10",123 кКал,"6,4 г","6,1 г","10,4 г"
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная",341 кКал,"21,82 г","27,53 г",0 г
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, жаренная на открытом огне",340 кКал,"23,06 г","26,82 г",0 г
"Ребра, баранина, мясо и жир, обрезь до 1/8'' жира, отборная, сырая",342 кКал,"15,32 г","30,71 г",0 г
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, жаренная",253 кКал,"22,06 г","18,29 г","0,04 г"
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, жаренная",317 кКал,"19,86 г","25,74 г",0 г
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь дл 1/8'' жира, сырая",311 кКал,"15,87 г",27 г,0 г
"Ребра, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",240 кКал,"18,12 г","18,52 г","0,13 г"
"Ребра, баранина, Новая Зеландия, замороженная, только мясо, жаренная",196 кКал,"24,42 г","10,16 г",0 г
"Ребра, баранина, Новая Зеландия, замороженная, только мясо, сырая",160 кКал,"20,65 г","8,61 г",0 г
Рубец бараний,82 кКал,"11,5 г",4 г,0 г
"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, сырая",201 кКал,"18,91 г","13,38 г",0 г
"Рулька, баранина, мясо и жир, обрезь до 1/4"" жира, отборная, тушеная",243 кКал,"28,37 г","13,46 г",0 г
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, сырая",223 кКал,"18,04 г","16,15 г",0 г
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, обрезь до 1/8"" жира, тушеная",258 кКал,"26,97 г","15,83 г",0 г
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, сырая",183 кКал,"20,09 г","11,38 г","0,09 г"
"Рулька, баранина, Новая Зеландия, замороженная, мясо и жир, тушеная",258 кКал,"26,97 г","15,83 г",0 г
"Рулька, баранина, Новая Зеландия, замороженная, только мясо, сырая",122 кКал,"22,05 г","3,77 г",0 г
"Рулька, баранина, Новая Зеландия, замороженная, только мясо, тушеная",209 кКал,"33,31 г","8,4 г",0 г
Селезенка баранья,101 кКал,"17,2 г","3,1 г",0 г
"Селезенка баранья, тушеная",156 кКал,"26,46 г","4,77 г",0 г
Сердце баранье,86 кКал,"13,5 г","3,5 г",0 г
Сердце баранье,122 кКал,"16,47 г","5,68 г","0,21 г"
"Сердце баранье, тушеное",185 кКал,"24,97 г","7,91 г","1,93 г"
Фарш из баранины,282 кКал,"16,56 г","23,41 г",0 г
"Фарш из баранины, жаренный на открытом огне",283 кКал,"24,75 г","19,65 г",0 г
Фарш из мяса белки (Аляска),111 кКал,"19,3 г","3,8 г",0 г
Фарш из мяса бизона,223 кКал,"18,67 г","15,93 г",0 г
"Фарш из мяса бизона, жаренный на сковороде",238 кКал,"23,77 г","15,13 г",0 г
Фарш из мяса зубра пастбищного,146 кКал,"20,23 г","7,21 г","0,05 г"
"Фарш из мяса зубра пастбищного, приготовленный",179 кКал,"25,45 г","8,62 г",0 г
Фарш из мяса лося,172 кКал,"21,76 г","8,82 г",0 г
"Фарш из мяса лося, жаренный на сковороде",193 кКал,"26,64 г","8,74 г",0 г
Фарш из мяса оленя (лани),157 кКал,"21,78 г","7,13 г",0 г
"Фарш из мяса оленя (лани), жаренный на сковороде",187 кКал,"26,45 г","8,22 г",0 г
"Шницель отбивной из баранины, по 1-416",333 кКал,"21,8 г","23,2 г","9,1 г"
Ягнятина,196 кКал,"17,2 г","14,1 г",0 г
"Ягнятина, лопаточная часть",259 кКал,"16,63 г","20,86 г",0 г
"Ягнятина, лопаточная часть жаренная на открытом огне",278 кКал,"23,08 г","19,94 г",0 г
"Ягнятина, лопаточная часть только мясо",151 кКал,"19,29 г","7,63 г",0 г
"Ягнятина, лопаточная часть только мясо, жаренная на открытом огне",211 кКал,"25,48 г","11,32 г",0 г
"Ягнятина, лопаточная часть только мясо, запеченная",209 кКал,"24,61 г","11,57 г",0 г
"Ягнятина, лопаточная часть, запеченная",281 кКал,"22,25 г","20,61 г",0 г
"Ягнятина, лопаточная часть, только мясо, тушеная",288 кКал,"32,35 г","16,64 г",0 г
"Ягнятина, лопаточная часть, тушеная",345 кКал,"28,51 г","24,73 г",0 г
"Ягнятина, окорок",272 кКал,"16,94 г","22,11 г",0 г
"Ягнятина, окорок, запеченный",292 кКал,"24,63 г","20,67 г",0 г
"Ягнятина, окорок, только мясо, запеченный",204 кКал,"28,35 г","9,17 г",0 г
"Ягнятина, плечевая часть",260 кКал,"16,79 г","20,9 г",0 г
"Ягнятина, плечевая часть, жаренная на открытом огне",281 кКал,"24,44 г","19,55 г",0 г
"Ягнятина, плечевая часть, запеченная",279 кКал,"22,53 г","20,24 г",0 г
"Ягнятина, плечевая часть, только мясо",132 кКал,"19,99 г","5,2 г",0 г
"Ягнятина, плечевая часть, только мясо, жаренная на открытом огне",200 кКал,"27,71 г","9,02 г",0 г
"Ягнятина, плечевая часть, только мясо, запеченная",192 кКал,"25,46 г","9,26 г",0 г
"Ягнятина, плечевая часть, только мясо, тушеная",279 кКал,"35,54 г","14,08 г",0 г
"Ягнятина, плечевая часть, тушеная",346 кКал,"30,39 г",24 г,0 г
Язык бараний,195 кКал,"12,6 г","16,1 г",0 г
Язык бараний,222 кКал,"15,7 г","17,17 г",0 г
Язык бараний тушеный,275 кКал,"21,57 г","20,28 г",0 г
Язык оленя карибу (Аляска),260 кКал,"13,7 г","22,8 г",0 г
Вина десертные,172 кКал,"0,5 г",0 г,20 г
Вина крепкие,163 кКал,"0,4 г",0 г,12 г
Вина ликерные,212 кКал,"0,5 г",0 г,30 г
Вина полудесертные,140 кКал,"0,4 г",0 г,12 г
Вина полусладкие белые и красные (в т. ч. шампанское),88 кКал,"0,2 г",0 г,5 г
Вина полусухие белые и красные (в т. ч. шампанское),78 кКал,"0,3 г",0 г,"2,5 г"
Вина сладкие белые и красные (в т. ч. шампанское),100 кКал,"0,2 г",0 г,8 г
